Timestamp_,P_,R_,Y_,TimestampM,P,R,Y
3165894438489,0,0,0,1582947219244,0,0,0
3165894438509,0,0,0,1582947219254,0,0,0
3165894438529,0,0,0,1582947219264,0,0,0
3165894438549,0,0,0,1582947219274,0,0,0
3165894438569,0,0,0,1582947219284,0,0,0
3165894438589,0,0,0,1582947219294,0,0,0
3165894438609,0,0,0,1582947219304,0,0,0
3165894438630,0,0,0,1582947219315,0,0,0
3165894438650,0,0,0,1582947219325,0,0,0
3165894438670,0,0,0,1582947219335,0,0,0
3165894438690,0,0,0,1582947219345,0,0,0
3165894438710,0,0,0,1582947219355,0,0,0
3165894438730,0,0,0,1582947219365,0,0,0
3165894438750,0,0,0,1582947219375,0,0,0
3165894438770,0,0,0,1582947219385,0,0,0
3165894438790,0,0,0,1582947219395,0,0,0
3165894438811,0,0,0,1582947219405,0,0,0
3165894438831,0,0,0,1582947219415,0,0,0
3165894438851,0,0,0,1582947219425,0,0,0
3165894438871,0,0,0,1582947219435,0,0,0
3165894438891,0,0,0,1582947219445,0,0,0
3165894438912,0,0,0,1582947219456,0,0,0
3165894438932,0,0,0,1582947219466,0,0,0
3165894438952,0,0,0,1582947219476,0,0,0
3165894438972,0,0,0,1582947219486,0,0,0
3165894438992,0,0,0,1582947219496,0,0,0
3165894439012,0,0,0,1582947219506,0,0,0
3165894439032,0,0,0,1582947219516,0,0,0
3165894439052,0,0,0,1582947219526,0,0,0
3165894439072,0,0,0,1582947219536,0,0,0
3165894439093,0,0,0,1582947219546,0,0,0
3165894439112,0,0,0,1582947219556,0,0,0
3165894439132,0,0,0,1582947219566,0,0,0
3165894439153,0,0,0,1582947219576,0,0,0
3165894439172,0,0,0,1582947219586,0,0,0
3165894439193,0,0,0,1582947219596,0,0,0
3165894439213,0,0,0,1582947219606,0,0,0
3165894439233,0,0,0,1582947219616,0,0,0
3165894439253,0,0,0,1582947219626,0,0,0
3165894439273,0,0,0,1582947219636,0,0,0
3165894439294,0,0,0,1582947219647,0,0,0
3165894439313,0,0,0,1582947219656,0,0,0
3165894439333,0,0,0,1582947219666,0,0,0
3165894439354,0,0,0,1582947219677,0,0,0
3165894439374,0,0,0,1582947219687,0,0,0
3165894439393,0,0,0,1582947219696,0,0,0
3165894439414,0,0,0,1582947219707,0,0,0
3165894439434,0,0,0,1582947219717,0,0,0
3165894439454,0,0,0,1582947219727,0,0,0
3165894439474,0,0,0,1582947219737,0,0,0
3165894439494,0,0,0,1582947219747,0,0,0
3165894439514,0,0,0,1582947219757,0,0,0
3165894439534,0,0,0,1582947219767,0,0,0
3165894439554,0,0,0,1582947219777,0,0,0
3165894439574,0,0,0,1582947219787,0,0,0
3165894439594,0,0,0,1582947219797,0,0,0
3165894439614,0,0,0,1582947219807,0,0,0
3165894439634,0,0,0,1582947219817,0,0,0
3165894439654,0,0,0,1582947219827,0,0,0
3165894439674,0,0,0,1582947219837,0,0,0
3165894439694,0,0,0,1582947219847,0,0,0
3165894439715,0,0,0,1582947219857,0,0,0
3165894439735,0,0,0,1582947219867,0,0,0
3165894439755,0,0,0,1582947219877,0,0,0
3165894439775,0,0,0,1582947219887,0,0,0
3165894439795,0,0,0,1582947219897,0,0,0
3165894439815,0,0,0,1582947219907,0,0,0
3165894439835,0,0,0,1582947219917,0,0,0
3165894439855,0,0,0,1582947219927,0,0,0
3165894439875,0,0,0,1582947219937,0,0,0
3165894439895,0,0,0,1582947219947,0,0,0
3165894439916,0,0,0,1582947219958,0,0,0
3165894439935,0,0,0,1582947219967,0,0,0
3165894439956,0,0,0,1582947219978,0,0,0
3165894439976,0,0,0,1582947219988,0,0,0
3165894439996,0,0,0,1582947219998,0,0,0
3165894440016,0,0,0,1582947220008,0,0,0
3165894440036,0,0,0,1582947220018,0,0,0
3165894440056,0,0,0,1582947220028,0,0,0
3165894440076,0,0,0,1582947220038,0,0,0
3165894440096,0,0,0,1582947220048,0,0,0
3165894440116,0,0,0,1582947220058,0,0,0
3165894440137,0,0,0,1582947220068,0,0,0
3165894440157,0,0,0,1582947220078,0,0,0
3165894440176,0,0,0,1582947220088,0,0,0
3165894440197,0,0,0,1582947220098,0,0,0
3165894440217,0,0,0,1582947220108,0,0,0
3165894440237,0,0,0,1582947220118,0,0,0
3165894440257,0,0,0,1582947220128,0,0,0
3165894440277,0,0,0,1582947220138,0,0,0
3165894440297,0,0,0,1582947220148,0,0,0
3165894440318,0,0,0,1582947220159,0,0,0
3165894440337,0,0,0,1582947220168,0,0,0
3165894440357,0,0,0,1582947220178,0,0,0
3165894440377,0,0,0,1582947220188,0,0,0
3165894440397,0,0,0,1582947220198,0,0,0
3165894440417,0,0,0,1582947220208,0,0,0
3165894440438,0,0,0,1582947220219,0,0,0
3165894440457,0,0,0,1582947220228,0,0,0
3165894440478,0,0,0,1582947220239,0,0,0
3165894440498,0,0,0,1582947220249,0,0,0
3165894440518,0,0,0,1582947220259,0,0,0
3165894440538,0,0,0,1582947220269,0,0,0
3165894440558,0,0,0,1582947220279,0,0,0
3165894440578,0,0,0,1582947220289,0,0,0
3165894440598,0,0,0,1582947220299,0,0,0
3165894440618,0,0,0,1582947220309,0,0,0
3165894440639,0,0,0,1582947220319,0,0,0
3165894440658,0,0,0,1582947220329,0,0,0
3165894440679,0,0,0,1582947220339,0,0,0
3165894440699,0,0,0,1582947220349,0,0,0
3165894440719,0,0,0,1582947220359,0,0,0
3165894440739,0,0,0,1582947220369,0,0,0
3165894440759,0,0,0,1582947220379,0,0,0
3165894440779,0,0,0,1582947220389,0,0,0
3165894440799,0,0,0,1582947220399,0,0,0
3165894440819,0,0,0,1582947220409,0,0,0
3165894440839,0,0,0,1582947220419,0,0,0
3165894440859,0,0,0,1582947220429,0,0,0
3165894440880,0,0,0,1582947220440,0,0,0
3165894440899,0,0,0,1582947220449,0,0,0
3165894440920,0,0,0,1582947220460,0,0,0
3165894440940,0,0,0,1582947220470,0,0,0
3165894440960,0,0,0,1582947220480,0,0,0
3165894440980,0,0,0,1582947220490,0,0,0
3165894441000,0,0,0,1582947220500,0,0,0
3165894441020,0,0,0,1582947220510,0,0,0
3165894441042,0,0,0,1582947220521,0,0,0
3165894441062,0,0,0,1582947220531,0,0,0
3165894441080,0,0,0,1582947220540,0,0,0
3165894441100,0,0,0,1582947220550,0,0,0
3165894441120,0,0,0,1582947220560,0,0,0
3165894441141,0,0,0,1582947220570,0,0,0
3165894441161,0,0,0,1582947220580,0,0,0
3165894441181,0,0,0,1582947220590,0,0,0
3165894441201,0,0,0,1582947220600,0,0,0
3165894441221,0,0,0,1582947220610,0,0,0
3165894441241,0,0,0,1582947220620,0,0,0
3165894441261,0,0,0,1582947220630,0,0,0
3165894441281,0,0,0,1582947220640,0,0,0
3165894441301,0,0,1,1582947220650,0,0,1
3165894441321,0,0,1,1582947220660,0,0,1
3165894441341,0,0,1,1582947220670,0,0,1
3165894441361,0,0,2,1582947220680,0,0,2
3165894441381,0,0,2,1582947220690,0,0,2
3165894441402,0,0,3,1582947220701,0,0,3
3165894441422,0,0,3,1582947220711,0,0,3
3165894441442,0,0,3,1582947220721,0,0,3
3165894441462,0,0,4,1582947220731,0,0,4
3165894441482,0,0,5,1582947220741,0,0,5
3165894441502,0,0,5,1582947220751,0,0,5
3165894441521,0,0,6,1582947220760,0,0,6
3165894441542,0,0,6,1582947220771,0,0,6
3165894441562,0,0,7,1582947220781,0,0,7
3165894441582,0,0,8,1582947220791,0,0,8
3165894441602,0,0,8,1582947220801,0,0,8
3165894441622,0,0,9,1582947220811,0,0,9
3165894441643,0,0,10,1582947220821,0,0,10
3165894441663,0,0,10,1582947220831,0,0,10
3165894441683,0,0,11,1582947220841,0,0,11
3165894441703,0,0,12,1582947220851,0,0,12
3165894441723,0,0,12,1582947220861,0,0,12
3165894441743,0,0,13,1582947220871,0,0,13
3165894441763,0,0,14,1582947220881,0,0,14
3165894441783,0,0,14,1582947220891,0,0,14
3165894441803,0,0,15,1582947220901,0,0,15
3165894441823,0,0,16,1582947220911,0,0,16
3165894441843,0,0,16,1582947220921,0,0,16
3165894441863,0,0,17,1582947220931,0,0,17
3165894441883,0,0,18,1582947220941,0,0,18
3165894441903,0,0,18,1582947220951,0,0,18
3165894441924,1,0,19,1582947220962,1,0,19
3165894441944,1,0,20,1582947220972,1,0,20
3165894441964,1,0,21,1582947220982,1,0,21
3165894441984,1,0,21,1582947220992,1,0,21
3165894442004,1,0,22,1582947221002,1,0,22
3165894442024,1,0,23,1582947221012,1,0,23
3165894442044,1,0,24,1582947221022,1,0,24
3165894442065,1,0,25,1582947221032,1,0,25
3165894442084,1,0,26,1582947221042,1,0,26
3165894442104,1,0,27,1582947221052,1,0,27
3165894442124,1,0,27,1582947221062,1,0,27
3165894442145,1,0,28,1582947221072,1,0,28
3165894442165,2,0,29,1582947221082,2,0,29
3165894442184,2,0,30,1582947221092,2,0,30
3165894442205,2,0,30,1582947221102,2,0,30
3165894442224,2,0,31,1582947221112,2,0,31
3165894442245,2,0,32,1582947221122,2,0,32
3165894442265,2,0,32,1582947221132,2,0,32
3165894442285,2,0,33,1582947221142,2,0,33
3165894442305,2,0,33,1582947221152,2,0,33
3165894442325,2,0,34,1582947221162,2,0,34
3165894442345,2,0,34,1582947221172,2,0,34
3165894442365,2,0,35,1582947221182,2,0,35
3165894442385,2,0,35,1582947221192,2,0,35
3165894442406,2,0,36,1582947221203,2,0,36
3165894442426,2,-1,36,1582947221213,2,-1,36
3165894442446,2,-1,37,1582947221223,2,-1,37
3165894442466,2,-1,37,1582947221233,2,-1,37
